Movie ID,Movie Title,Release Year,Runtime,Budget,Box Office
1,Harry Potter and the Philosopher's Stone,2001,152,"125,000,000 ","1,002,000,000 "
2,Harry Potter and the Chamber of Secrets,2002,161,"125,000,000 ","1,002,000,000 "
3,Harry Potter and the Prisoner of Azkaban,2004,142,"125,000,000 ","1,002,000,000 "
4,Harry Potter and the Goblet of Fire,2005,157,"125,000,000 ","1,002,000,000 "
5,Harry Potter and the Order of the Phoenix,2007,138,"125,000,000 ","1,002,000,000 "
6,Harry Potter and the Half-Blood Prince,2009,153,"125,000,000 ","1,002,000,000 "
7,Harry Potter and the Deathly Hallows Part 1,2010,146,"125,000,000 ","1,002,000,000 "
8,Harry Potter and the Deathly Hallows Part 2,2011,130,"125,000,000 ","1,002,000,000 "
